cohort,species_auc,species_cov_auc,difference
FengQ_2015,0.837847469707769,0.8364219529579473,-0.0014255167498217203
ThomasAM_2018a,0.7341954022988505,0.7543103448275863,0.020114942528735802
ThomasAM_2018b,0.8013392857142857,0.8091517857142858,0.007812500000000111
ThomasAM_2019_c,0.828125,0.8168750000000001,-0.011249999999999871
VogtmannE_2016,0.7303994082840236,0.7459319526627218,0.015532544378698221
YuJ_2015,0.8676176176176177,0.8698698698698699,0.0022522522522522292
ZellerG_2014,0.8209093721002165,0.8202907516238788,-0.0006186204763377612
