seed,mean_auc,std_auc
0,0.8042647618857843,0.04467650408009175
1,0.8036327325033513,0.04800846470008209
2,0.8076343955412074,0.04139874799697149
42,0.8029190793889661,0.04832837764839799
100,0.8041443308087801,0.04996558932030436
