Cohort,Country,N (total),N (CRC),N (adenoma),N (control),Age (mean ± SD),Female %,BMI (mean ± SD)
FengQ_2015,AUT,154,46,47,61,66.9 ± 8.4,43.5%,27.4 ± 4.0
ThomasAM_2018a,ITA,80,29,27,24,67.5 ± 8.7,35.0%,25.5 ± 3.9
ThomasAM_2018b,ITA,60,32,0,28,58.2 ± 8.3,35.0%,25.8 ± 4.2
ThomasAM_2019_c,JPN,80,40,0,40,61.1 ± 12.6,43.8%,22.7 ± 2.6
VogtmannE_2016,USA,104,52,0,52,61.5 ± 12.3,28.8%,25.1 ± 4.2
YuJ_2015,CHN,128,74,0,54,64.2 ± 9.1,36.7%,23.8 ± 3.1
ZellerG_2014,FRA,156,53,42,61,63.3 ± 10.9,44.2%,25.3 ± 4.2
TOTAL,—,762,326,116,320,63.8 ± 10.5,39.0%,25.2 ± 4.1
