cohort,rf_auc,xgb_auc,rf_n_features,xgb_n_features
FengQ_2015,0.8485388453314326,0.8193157519600855,651,651
ThomasAM_2018a,0.814655172413793,0.7830459770114943,651,651
ThomasAM_2018b,0.7734375000000001,0.7790178571428571,653,653
ThomasAM_2019_c,0.750625,0.806875,651,651
VogtmannE_2016,0.7167159763313609,0.713387573964497,652,652
YuJ_2015,0.7605105105105106,0.80005005005005,649,649
ZellerG_2014,0.8304979894834519,0.7871945561398082,651,651
