cohort,auc
FengQ_2015,0.8435495367070563
ThomasAM_2018a,0.7772988505747126
ThomasAM_2018b,0.8035714285714286
ThomasAM_2019_c,0.8381249999999999
VogtmannE_2016,0.73853550295858
YuJ_2015,0.8345845845845846
ZellerG_2014,0.8094648932879678
