model_a,model_b,auc_a,auc_b,auc_diff,z,p_value,n_samples
species_rf,joint_rf,0.8096146472392638,0.7755080521472392,0.03410659509202463,2.8769627824413706,0.004015229491888261,646
species_rf,joint_xgb,0.8096146472392638,0.7809815950920246,0.028633052147239213,2.6502657234238898,0.008042848589696616,646
joint_xgb,joint_rf,0.7809815950920246,0.7755080521472392,0.0054735429447854145,0.5297781387601398,0.5962657640936204,646
