comparison,mean_a,mean_b,mean_diff,ci_low,ci_high,t_stat,t_pvalue,wilcoxon_stat,wilcoxon_pvalue,n_folds
Species RF vs Joint RF,0.8029190793889661,0.7849972848672212,0.017921794521744853,-0.0240521898322335,0.06054018929907046,0.7679266674008988,0.47166190113976103,9.0,0.46875,7
Species RF vs Joint XGB,0.8029190793889661,0.7841266808955417,0.018792398493424418,-0.00778906752602228,0.04101818251332052,1.4353928558160765,0.20118524804971277,6.0,0.21875,7
Joint XGB vs Joint RF,0.7841266808955417,0.7849972848672212,-0.0008706039716795637,-0.02525705698778714,0.026100132933924085,-0.061224212085837795,0.9531691042384087,14.0,1.0,7
